  PID  PPID  %CPU    RSS COMM
  744     1   0.0  18384 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  745     1   0.0  30512 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
  746     1   0.0  24992 /System/Library/PrivateFrameworks/iCloudDriveCore.framework/Versions/A/Support/bird
  747     1   0.0 106304 /System/Library/CoreServices/iconservicesagent
  748     1   1.2   6176 automountd
  749     1   0.1  55520 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  750     1   0.0  12176 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent
  751     1   0.0  28848 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  752     1   0.0   4320 /usr/libexec/wallpaperexportd
  753     1   0.0  25312 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  754     1   0.0   9376 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
  756     1   0.0  59184 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension
  757     1   0.0  14960 /usr/libexec/intelligentroutingd
  759     1   0.0  24080 /System/Library/PrivateFrameworks/CommunicationTrust.framework/Support/communicationtrustd
  760     1   0.0  21360 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  761     1   0.0  22704 /usr/libexec/gamepolicyd
  762     1   0.0   4912 /Library/Apple/System/Library/PrivateFrameworks/DeviceInterface.framework/Support/deviceinterfaced
  763     1   0.0   9056 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  764     1   0.1 726096 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  765     1   0.0  12656 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
  766     1   0.0  72512 /usr/libexec/replayd
  767     1   0.0  12576 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  768     1   0.0  11728 /System/Library/PrivateFrameworks/IntlPreferences.framework/Support/localizationswitcherd
